,date,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party,Democrats,Republicans
0,2020-01-25,California,6,1,0,22.9,Democrats,1,0
1,2020-01-26,California,6,2,0,22.9,Democrats,1,0
2,2020-01-27,California,6,2,0,22.9,Democrats,1,0
3,2020-01-28,California,6,2,0,22.9,Democrats,1,0
4,2020-01-29,California,6,2,0,22.9,Democrats,1,0
5,2020-01-30,California,6,2,0,22.9,Democrats,1,0
6,2020-01-31,California,6,3,0,22.9,Democrats,1,0
7,2020-02-01,California,6,3,0,22.9,Democrats,1,0
8,2020-02-02,California,6,6,0,22.9,Democrats,1,0
9,2020-02-03,California,6,6,0,22.9,Democrats,1,0
10,2020-02-04,California,6,6,0,22.9,Democrats,1,0
11,2020-02-05,California,6,6,0,22.9,Democrats,1,0
12,2020-02-06,California,6,6,0,22.9,Democrats,1,0
13,2020-02-07,California,6,6,0,22.9,Democrats,1,0
14,2020-02-08,California,6,6,0,22.9,Democrats,1,0
15,2020-02-09,California,6,6,0,22.9,Democrats,1,0
16,2020-02-10,California,6,7,0,22.9,Democrats,1,0
17,2020-02-11,California,6,7,0,22.9,Democrats,1,0
18,2020-02-12,California,6,7,0,22.9,Democrats,1,0
19,2020-02-13,California,6,7,0,22.9,Democrats,1,0
20,2020-02-14,California,6,7,0,22.9,Democrats,1,0
21,2020-02-15,California,6,7,0,22.9,Democrats,1,0
22,2020-02-16,California,6,7,0,22.9,Democrats,1,0
23,2020-02-17,California,6,7,0,22.9,Democrats,1,0
24,2020-02-18,California,6,7,0,22.9,Democrats,1,0
25,2020-02-19,California,6,7,0,22.9,Democrats,1,0
26,2020-02-20,California,6,8,0,22.9,Democrats,1,0
27,2020-02-21,California,6,9,0,22.9,Democrats,1,0
28,2020-02-22,California,6,9,0,22.9,Democrats,1,0
29,2020-02-23,California,6,9,0,22.9,Democrats,1,0
30,2020-02-24,California,6,11,0,22.9,Democrats,1,0
31,2020-02-25,California,6,11,0,22.9,Democrats,1,0
32,2020-02-26,California,6,26,0,22.9,Democrats,1,0
33,2020-02-27,California,6,26,0,22.9,Democrats,1,0
34,2020-02-28,California,6,27,0,22.9,Democrats,1,0
35,2020-02-29,California,6,28,0,22.9,Democrats,1,0
36,2020-03-01,California,6,33,0,22.9,Democrats,1,0
37,2020-03-02,California,6,38,0,22.9,Democrats,1,0
38,2020-03-03,California,6,45,0,22.9,Democrats,1,0
39,2020-03-04,California,6,55,1,22.9,Democrats,1,0
40,2020-03-05,California,6,67,1,22.9,Democrats,1,0
41,2020-03-06,California,6,81,1,22.9,Democrats,1,0
42,2020-03-07,California,6,100,1,22.9,Democrats,1,0
43,2020-03-08,California,6,112,1,22.9,Democrats,1,0
44,2020-03-09,California,6,172,2,22.9,Democrats,1,0
45,2020-03-10,California,6,179,3,22.9,Democrats,1,0
46,2020-03-11,California,6,202,4,22.9,Democrats,1,0
47,2020-03-12,California,6,252,4,22.9,Democrats,1,0
48,2020-03-13,California,6,320,5,22.9,Democrats,1,0
49,2020-03-14,California,6,381,5,22.9,Democrats,1,0
50,2020-03-15,California,6,478,6,22.9,Democrats,1,0
51,2020-03-16,California,6,588,11,22.9,Democrats,1,0
52,2020-03-17,California,6,732,14,22.9,Democrats,1,0
53,2020-03-18,California,6,893,17,22.9,Democrats,1,0
54,2020-03-19,California,6,1067,19,22.9,Democrats,1,0
55,2020-03-20,California,6,1283,24,22.9,Democrats,1,0
56,2020-03-21,California,6,1544,28,22.9,Democrats,1,0
57,2020-03-22,California,6,1851,35,22.9,Democrats,1,0
58,2020-03-23,California,6,2240,39,22.9,Democrats,1,0
59,2020-03-24,California,6,2644,52,22.9,Democrats,1,0
60,2020-03-25,California,6,3183,68,22.9,Democrats,1,0
61,2020-03-26,California,6,4060,83,22.9,Democrats,1,0
62,2020-03-27,California,6,4915,104,22.9,Democrats,1,0
63,2020-03-28,California,6,5566,122,22.9,Democrats,1,0
64,2020-03-29,California,6,6321,132,22.9,Democrats,1,0
65,2020-03-30,California,6,7421,147,22.9,Democrats,1,0
66,2020-03-31,California,6,8583,184,22.9,Democrats,1,0
67,2020-04-01,California,6,9857,212,22.9,Democrats,1,0
68,2020-04-02,California,6,11190,247,22.9,Democrats,1,0
69,2020-04-03,California,6,12569,282,22.9,Democrats,1,0
70,2020-04-04,California,6,13796,323,22.9,Democrats,1,0
71,2020-04-05,California,6,15202,351,22.9,Democrats,1,0
72,2020-04-06,California,6,16361,386,22.9,Democrats,1,0
73,2020-04-07,California,6,17540,447,22.9,Democrats,1,0
74,2020-04-08,California,6,19043,506,22.9,Democrats,1,0
75,2020-04-09,California,6,20191,548,22.9,Democrats,1,0
76,2020-04-10,California,6,21366,594,22.9,Democrats,1,0
77,2020-04-11,California,6,22421,632,22.9,Democrats,1,0
78,2020-04-12,California,6,23323,676,22.9,Democrats,1,0
79,2020-04-13,California,6,24334,725,22.9,Democrats,1,0
80,2020-04-14,California,6,25758,778,22.9,Democrats,1,0
81,2020-04-15,California,6,27107,885,22.9,Democrats,1,0
82,2020-04-16,California,6,28142,971,22.9,Democrats,1,0
83,2020-04-17,California,6,29398,1050,22.9,Democrats,1,0
84,2020-04-18,California,6,30829,1146,22.9,Democrats,1,0
85,2020-04-19,California,6,31544,1176,22.9,Democrats,1,0
86,2020-04-20,California,6,33862,1223,22.9,Democrats,1,0
87,2020-04-21,California,6,35844,1316,22.9,Democrats,1,0
88,2020-04-22,California,6,37573,1425,22.9,Democrats,1,0
89,2020-04-23,California,6,39534,1548,22.9,Democrats,1,0
90,2020-04-24,California,6,41368,1619,22.9,Democrats,1,0
91,2020-04-25,California,6,42590,1692,22.9,Democrats,1,0
92,2020-04-26,California,6,43691,1716,22.9,Democrats,1,0
93,2020-04-27,California,6,45208,1800,22.9,Democrats,1,0
94,2020-04-28,California,6,46570,1884,22.9,Democrats,1,0
95,2020-04-29,California,6,48904,1961,22.9,Democrats,1,0
96,2020-04-30,California,6,50470,2057,22.9,Democrats,1,0
97,2020-05-01,California,6,52318,2147,22.9,Democrats,1,0
98,2020-05-02,California,6,53753,2213,22.9,Democrats,1,0
99,2020-05-03,California,6,55072,2235,22.9,Democrats,1,0
100,2020-05-04,California,6,56333,2297,22.9,Democrats,1,0
101,2020-05-05,California,6,58848,2386,22.9,Democrats,1,0
102,2020-05-06,California,6,60787,2478,22.9,Democrats,1,0
103,2020-05-07,California,6,62481,2561,22.9,Democrats,1,0
104,2020-05-08,California,6,64616,2650,22.9,Democrats,1,0
105,2020-05-09,California,6,66824,2732,22.9,Democrats,1,0
106,2020-05-10,California,6,68051,2769,22.9,Democrats,1,0
107,2020-05-11,California,6,69514,2820,22.9,Democrats,1,0
108,2020-05-12,California,6,71150,2902,22.9,Democrats,1,0
109,2020-05-13,California,6,73218,3014,22.9,Democrats,1,0
110,2020-05-14,California,6,74947,3039,22.9,Democrats,1,0
111,2020-05-15,California,6,77015,3192,22.9,Democrats,1,0
112,2020-05-16,California,6,78933,3254,22.9,Democrats,1,0
